policy,slowtrack_load_profile,frontend_profile,scenario_profile,module,n,mean_ms,median_ms,p25_ms,p75_ms,p95_ms,min_ms,max_ms
emotion_only,heavy_context,backend_ready,donation_mix,donation_readout_tts_ms,1810,485.938,509.413,446.238,558.604,558.604,427.54,558.604
emotion_only,heavy_context,backend_ready,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,backend_ready,donation_mix,fasttrack_analysis_ms,4000,13.488,13.435,12.753,13.807,15.146,12.385,15.146
emotion_only,heavy_context,backend_ready,donation_mix,fasttrack_audio_lookup_ms,4000,1.69,1.62,1.443,1.808,2.046,1.341,2.046
emotion_only,heavy_context,backend_ready,donation_mix,frontend_audio_overhead_ms,4000,3.641,3.476,2.417,4.823,6.564,0.064,7.925
emotion_only,heavy_context,backend_ready,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,backend_ready,donation_mix,slowtrack_llm_ms,4000,3551.22,3573.551,3373.633,3747.546,4000.693,2633.98,4437.764
emotion_only,heavy_context,backend_ready,donation_mix,slowtrack_tts_ms,4000,1021.548,1015.772,950.867,1084.841,1198.071,723.356,1374.283
emotion_only,heavy_context,capture_stress,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,capture_stress,chat_only,fasttrack_analysis_ms,4000,13.468,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,heavy_context,capture_stress,chat_only,fasttrack_audio_lookup_ms,4000,1.693,1.62,1.443,2.036,2.046,1.341,2.046
emotion_only,heavy_context,capture_stress,chat_only,frontend_audio_overhead_ms,4000,169.71,165.656,138.954,198.668,244.661,82.525,279.481
emotion_only,heavy_context,capture_stress,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,capture_stress,chat_only,slowtrack_llm_ms,4000,3564.063,3584.919,3383.154,3760.961,4007.393,2577.671,4516.304
emotion_only,heavy_context,capture_stress,chat_only,slowtrack_tts_ms,4000,1022.477,1017.844,956.126,1084.323,1191.045,750.34,1354.669
emotion_only,heavy_context,capture_stress,donation_mix,donation_emotion_motion_ms,1727,0.012,0.011,0.01,0.013,0.014,0.01,0.014
emotion_only,heavy_context,capture_stress,donation_mix,donation_readout_tts_ms,1727,486.244,509.413,446.238,558.604,558.604,427.54,558.604
emotion_only,heavy_context,capture_stress,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,capture_stress,donation_mix,fasttrack_analysis_ms,4000,13.456,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,heavy_context,capture_stress,donation_mix,fasttrack_audio_lookup_ms,4000,1.694,1.62,1.443,2.036,2.046,1.341,2.046
emotion_only,heavy_context,capture_stress,donation_mix,frontend_audio_overhead_ms,4000,169.262,164.975,138.084,198.841,242.078,81.052,277.449
emotion_only,heavy_context,capture_stress,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,heavy_context,capture_stress,donation_mix,slowtrack_llm_ms,4000,3558.743,3572.24,3383.215,3756.498,4009.729,2591.46,4633.87
emotion_only,heavy_context,capture_stress,donation_mix,slowtrack_tts_ms,4000,1020.779,1017.089,950.987,1083.744,1194.961,737.938,1332.797
emotion_only,heavy_context,local_browser,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
