condition_id,policy,slowtrack_load_profile,frontend_profile,scenario_profile,turns,fasttrack_enabled,first_response_ready_ms_n,first_response_ready_ms_mean_ms,first_response_ready_ms_median_ms,first_response_ready_ms_p25_ms,first_response_ready_ms_p75_ms,first_response_ready_ms_p95_ms,first_response_ready_ms_min_ms,first_response_ready_ms_max_ms,first_response_ready_ms_p_lt_100ms,first_response_ready_ms_p_lt_500ms,first_response_ready_ms_p_gt_2000ms,fasttrack_ready_ms_n,fasttrack_ready_ms_mean_ms,fasttrack_ready_ms_median_ms,fasttrack_ready_ms_p25_ms,fasttrack_ready_ms_p75_ms,fasttrack_ready_ms_p95_ms,fasttrack_ready_ms_min_ms,fasttrack_ready_ms_max_ms,fasttrack_ready_ms_p_lt_100ms,fasttrack_ready_ms_p_lt_500ms,fasttrack_ready_ms_p_gt_2000ms,slowtrack_compute_ms_n,slowtrack_compute_ms_mean_ms,slowtrack_compute_ms_median_ms,slowtrack_compute_ms_p25_ms,slowtrack_compute_ms_p75_ms,slowtrack_compute_ms_p95_ms,slowtrack_compute_ms_min_ms,slowtrack_compute_ms_max_ms,slowtrack_compute_ms_p_lt_100ms,slowtrack_compute_ms_p_lt_500ms,slowtrack_compute_ms_p_gt_2000ms,full_answer_ready_ms_n,full_answer_ready_ms_mean_ms,full_answer_ready_ms_median_ms,full_answer_ready_ms_p25_ms,full_answer_ready_ms_p75_ms,full_answer_ready_ms_p95_ms,full_answer_ready_ms_min_ms,full_answer_ready_ms_max_ms,full_answer_ready_ms_p_lt_100ms,full_answer_ready_ms_p_lt_500ms,full_answer_ready_ms_p_gt_2000ms,hidden_latency_ms_n,hidden_latency_ms_mean_ms,hidden_latency_ms_median_ms,hidden_latency_ms_p25_ms,hidden_latency_ms_p75_ms,hidden_latency_ms_p95_ms,hidden_latency_ms_min_ms,hidden_latency_ms_max_ms,hidden_latency_ms_p_lt_100ms,hidden_latency_ms_p_lt_500ms,hidden_latency_ms_p_gt_2000ms,donation_readout_tts_ms_n,donation_readout_tts_ms_mean_ms,donation_readout_tts_ms_median_ms,donation_readout_tts_ms_p25_ms,donation_readout_tts_ms_p75_ms,donation_readout_tts_ms_p95_ms,donation_readout_tts_ms_min_ms,donation_readout_tts_ms_max_ms,donation_readout_tts_ms_p_lt_100ms,donation_readout_tts_ms_p_lt_500ms,donation_readout_tts_ms_p_gt_2000ms
c045_emotion_only_stress_context_local_browser_chat_only,emotion_only,stress_context,local_browser,chat_only,4000,1,4000,66.613,65.399,55.767,76.955,92.518,35.553,105.897,0.9895,1.0,0.0,4000,15.22,15.058,14.421,16.109,16.927,13.726,17.192,1.0,1.0,0.0,4000,6183.672,6205.74,5917.863,6482.818,6850.583,4742.915,7593.46,0.0,0.0,1.0,4000,6235.065,6257.903,5971.122,6531.181,6900.429,4791.485,7645.016,0.0,0.0,1.0,4000,6168.452,6190.892,5902.31,6467.749,6834.428,4729.087,7578.174,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c046_emotion_only_stress_context_local_browser_donation_mix,emotion_only,stress_context,local_browser,donation_mix,4000,1,4000,67.189,65.584,56.307,77.926,92.764,35.383,106.099,0.9915,1.0,0.0,4000,15.187,15.031,14.421,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,6185.629,6205.956,5915.396,6470.791,6844.44,4580.761,7810.257,0.0,0.0,1.0,4000,6237.632,6260.081,5969.419,6521.364,6895.465,4619.907,7852.863,0.0,0.0,1.0,4000,6170.442,6190.666,5900.478,6455.594,6829.368,4564.049,7795.379,0.0,0.0,1.0,4000,218.629,0.0,0.0,446.238,558.604,0.0,558.604,0.5495,0.773,0.0
c047_emotion_only_stress_context_capture_stress_chat_only,emotion_only,stress_context,capture_stress,chat_only,4000,1,4000,185.01,179.69,153.513,216.047,259.437,97.416,293.521,0.00075,1.0,0.0,4000,15.208,15.055,14.421,16.007,16.954,13.726,17.192,1.0,1.0,0.0,4000,6199.028,6218.845,5930.986,6496.473,6855.646,4499.517,7605.304,0.0,0.0,1.0,4000,6368.831,6390.073,6099.203,6665.397,7031.505,4595.124,7767.309,0.0,0.0,1.0,4000,6183.82,6203.536,5916.044,6481.82,6840.502,4485.791,7591.445,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c048_emotion_only_stress_context_capture_stress_donation_mix,emotion_only,stress_context,capture_stress,donation_mix,4000,1,4000,184.946,181.364,154.382,213.364,258.564,95.053,292.288,0.002,1.0,0.0,4000,15.19,15.055,14.421,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,6195.172,6214.276,5926.235,6482.045,6868.711,4714.987,7843.723,0.0,0.0,1.0,4000,6364.928,6382.523,6089.961,6655.095,7033.944,4909.336,8120.667,0.0,0.0,1.0,4000,6179.983,6198.412,5910.998,6466.202,6852.834,4701.159,7829.997,0.0,0.0,1.0,4000,213.716,0.0,0.0,446.238,558.604,0.0,558.604,0.5575,0.78975,0.0
c049_response_act_only_current_prompt_backend_ready_chat_only,response_act_only,current_prompt,backend_ready,chat_only,4000,1,4000,16.076,15.552,13.504,18.083,22.885,8.217,26.825,1.0,1.0,0.0,4000,12.427,11.995,9.891,14.109,18.931,7.753,20.062,1.0,1.0,0.0,4000,2204.937,2211.402,2079.669,2335.583,2489.076,1610.996,2771.577,0.0,0.0,0.8605,4000,2208.586,2215.335,2083.422,2339.762,2492.729,1615.124,2774.445,0.0,0.0,0.8635,4000,2192.51,2198.985,2067.716,2322.953,2476.535,1599.081,2760.145,0.0,0.0,0.8435,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c050_response_act_only_current_prompt_backend_ready_donation_mix,response_act_only,current_prompt,backend_ready,donation_mix,4000,1,4000,16.042,15.527,13.458,18.112,23.003,8.448,26.569,1.0,1.0,0.0,4000,12.364,11.915,9.857,14.109,19.011,7.753,20.062,1.0,1.0,0.0,4000,2202.961,2211.387,2079.019,2328.823,2480.69,1664.617,2714.126,0.0,0.0,0.86325,4000,2206.638,2215.807,2082.841,2332.28,2486.087,1669.133,2719.877,0.0,0.0,0.8715,4000,2190.597,2198.556,2065.777,2316.642,2467.874,1652.424,2702.751,0.0,0.0,0.84975,4000,212.667,0.0,0.0,460.559,604.099,0.0,604.099,0.55275,0.91475,0.0
c051_response_act_only_current_prompt_local_browser_chat_only,response_act_only,current_prompt,local_browser,chat_only,4000,1,4000,64.429,63.886,53.117,75.17,89.852,29.075,106.4,0.99525,1.0,0.0,4000,12.332,11.941,9.857,13.91,18.931,7.753,20.062,1.0,1.0,0.0,4000,2206.034,2214.711,2083.246,2329.881,2480.118,1644.69,2729.686,0.0,0.0,0.86925,4000,2258.131,2266.32,2135.689,2382.284,2533.957,1711.095,2779.646,0.0,0.0,0.926,4000,2193.702,2202.882,2070.408,2317.039,2467.481,1632.339,2720.064,0.0,0.0,0.85125,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c052_response_act_only_current_prompt_local_browser_donation_mix,response_act_only,current_prompt,local_browser,donation_mix,4000,1,4000,64.229,63.084,53.46,74.679,89.829,29.839,107.345,0.9945,1.0,0.0,4000,12.437,11.941,9.891,14.109,18.935,7.753,20.062,1.0,1.0,0.0,4000,2209.303,2214.954,2080.723,2336.262,2486.64,1710.647,2736.535,0.0,0.0,0.87775,4000,2261.095,2264.709,2132.752,2391.143,2542.317,1742.614,2812.083,0.0,0.0,0.92525,4000,2196.866,2202.52,2068.013,2324.274,2474.88,1698.296,2723.291,0.0,0.0,0.858,4000,212.805,0.0,0.0,460.559,604.099,0.0,604.099,0.55225,0.915,0.0
c053_response_act_only_current_prompt_capture_stress_chat_only,response_act_only,current_prompt,capture_stress,chat_only,4000,1,4000,183.772,180.507,152.099,213.937,258.571,92.431,288.38,0.002,1.0,0.0,4000,12.244,11.915,9.857,13.244,18.931,7.753,20.062,1.0,1.0,0.0,4000,2208.346,2218.684,2084.8,2334.961,2477.594,1607.389,2802.051,0.0,0.0,0.87325,4000,2379.873,2387.256,2253.409,2509.083,2655.721,1737.347,2984.766,0.0,0.0,0.984,4000,2196.101,2206.597,2073.861,2322.07,2465.151,1593.28,2786.966,0.0,0.0,0.85975,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c054_response_act_only_current_prompt_capture_stress_donation_mix,response_act_only,current_prompt,capture_stress,donation_mix,4000,1,4000,181.466,177.45,151.608,209.647,255.973,89.875,296.794,0.00475,1.0,0.0,4000,12.431,11.941,9.891,14.109,18.931,7.753,20.062,1.0,1.0,0.0,4000,2207.247,2215.818,2081.02,2331.647,2482.908,1638.163,2806.038,0.0,0.0,0.86225,4000,2376.282,2382.234,2247.743,2506.575,2661.91,1824.145,3053.553,0.0,0.0,0.982,4000,2194.816,2203.447,2068.931,2321.399,2469.611,1629.282,2792.128,0.0,0.0,0.84625,4000,219.131,0.0,0.0,460.559,604.099,0.0,604.099,0.53975,0.9075,0.0
